Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
SF3B2,Q13435,SF3B2_HUMAN,Splicing factor 3B subunit 2,3283278.295,6048961.182,Not differentially expressed,0.829,0.059992144,0.846
MFSD8,Q8NHS3,MFSD8_HUMAN,Major facilitator superfamily domain-containing protein 8,136128.7021,265920.0335,Not differentially expressed,0.829,0.153924764,0.877
ARL8B,Q9NVJ2,ARL8B_HUMAN,ADP-ribosylation factor-like protein 8B,5683032.685,12486455.37,Not differentially expressed,0.829,0.210394083,0.887
NFIB,O00712,NFIB_HUMAN,Nuclear factor 1 B-type,441015.2589,760896.9504,Not differentially expressed,0.828,0.097197552,0.862
NUP153,P49790,NU153_HUMAN,Nuclear pore complex protein Nup153,1278445.619,2641220.804,Not differentially expressed,0.827,0.112746117,0.869
DERA,Q9Y315,DEOC_HUMAN,Deoxyribose-phosphate aldolase,794377.1053,1232138.225,Not differentially expressed,0.826,0.164331603,0.879
TAGLN,Q01995,TAGL_HUMAN,Transgelin,1692352.699,4029886.843,Not differentially expressed,0.826,0.283836717,0.896
CHD1L,Q86WJ1,CHD1L_HUMAN,Chromodomain-helicase-DNA-binding protein 1-like,160855.4557,305057.8206,Not differentially expressed,0.825,0.250519101,0.892
TMEM63A,O94886,CSCL1_HUMAN,CSC1-like protein 1,1151631.893,2343643.916,Not differentially expressed,0.823,0.178084162,0.883
C6orf136,Q5SQH8,CF136_HUMAN,Uncharacterized protein C6orf136,248796.8473,395229.1438,Not differentially expressed,0.823,0.35416861,0.901
ABLIM3,O94929,ABLM3_HUMAN,Actin-binding LIM protein 3,254960.8821,473394.1935,Not differentially expressed,0.822,0.211158967,0.887
YIPF5,Q969M3,YIPF5_HUMAN,Protein YIPF5,618794.6908,1229262.951,Not differentially expressed,0.821,0.16138979,0.88
CELF4,Q9BZC1,CELF4_HUMAN,CUGBP Elav-like family member 4,278703.3969,605031.7868,Not differentially expressed,0.817,0.309348856,0.897
ACADM,P11310,ACADM_HUMAN,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",7728130.682,15993374.09,Not differentially expressed,0.816,0.150450913,0.878
NT5E,P21589,5NTD_HUMAN,5'-nucleotidase,2970909.085,6517222.254,Not differentially expressed,0.816,0.181562023,0.883
POMGNT1,Q8WZA1,PMGT1_HUMAN,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",349424.7984,593176.4325,Not differentially expressed,0.816,0.194251464,0.884
INPP5A,Q14642,I5P1_HUMAN,Inositol polyphosphate-5-phosphatase A,1652396.5,2996348.676,Not differentially expressed,0.816,0.206807181,0.887
WRNIP1,Q96S55,WRIP1_HUMAN,ATPase WRNIP1,364012.6787,784787.437,Not differentially expressed,0.816,0.353333763,0.901
MRPL48,Q96GC5,RM48_HUMAN,Large ribosomal subunit protein mL48,340478.7952,566096.32,Not differentially expressed,0.816,0.370899581,0.903
MRPL11,Q9Y3B7,RM11_HUMAN,Large ribosomal subunit protein uL11m,620392.2178,992151.3687,Not differentially expressed,0.815,0.189150504,0.883
QPCTL,Q9NXS2,QPCTL_HUMAN,Glutaminyl-peptide cyclotransferase-like protein,631067.307,1205101.059,Not differentially expressed,0.814,0.158382341,0.879
CPSF1,Q10570,CPSF1_HUMAN,Cleavage and polyadenylation specificity factor subunit 1,943625.5354,1931716.711,Not differentially expressed,0.813,0.123639505,0.871
UBL5,Q9BZL1,UBL5_HUMAN,Ubiquitin-like protein 5,1101660.549,2057560.452,Not differentially expressed,0.813,0.183269779,0.883
DAG1,Q14118,DAG1_HUMAN,Dystroglycan 1,5299879.802,12177720.21,Not differentially expressed,0.813,0.201963046,0.886
LMCD1,Q9NZU5,LMCD1_HUMAN,LIM and cysteine-rich domains protein 1,1425867.854,2615219.13,Not differentially expressed,0.812,0.080698366,0.856
EDC4,Q6P2E9,EDC4_HUMAN,Enhancer of mRNA-decapping protein 4,619840.5381,1042529.974,Not differentially expressed,0.811,0.082193232,0.858
FIBP,O43427,FIBP_HUMAN,Acidic fibroblast growth factor intracellular-binding protein,716018.2924,1127235.484,Not differentially expressed,0.811,0.145536379,0.876
TMX3,Q96JJ7,TMX3_HUMAN,Protein disulfide-isomerase TMX3,6662439.214,11516938.74,Vessel enriched,0.808,0.042629519,0.833
TUBGCP3,Q96CW5,GCP3_HUMAN,Gamma-tubulin complex component 3,416527.0167,823656.9537,Not differentially expressed,0.808,0.165058908,0.879
TOR3A,Q9H497,TOR3A_HUMAN,Torsin-3A,142546.5653,246696.1096,Not differentially expressed,0.807,0.205800575,0.886
AARS2,Q5JTZ9,SYAM_HUMAN,"Alanine--tRNA ligase, mitochondrial",281464.8222,552435.2852,Not differentially expressed,0.807,0.366036373,0.902
HLA-DPB1,P04440,DPB1_HUMAN,"HLA class II histocompatibility antigen, DP beta 1 chain",326355.8884,595531.9887,Not differentially expressed,0.806,0.305985335,0.897
REXO2,Q9Y3B8,ORN_HUMAN,"Oligoribonuclease, mitochondrial",1423682.198,2420988.682,Not differentially expressed,0.805,0.10861534,0.866
STAT3,P40763,STAT3_HUMAN,Signal transducer and activator of transcription 3,1255416.168,2298872.867,Not differentially expressed,0.804,0.139895397,0.875
ZNF638,Q14966,ZN638_HUMAN,Zinc finger protein 638,414991.5817,914003.696,Not differentially expressed,0.804,0.219767018,0.888
SLC25A6,P12236,ADT3_HUMAN,ADP/ATP translocase 3,242593361,393891416.9,Not differentially expressed,0.803,0.162198107,0.88
ATRAID,Q6UW56,ARAID_HUMAN,All-trans retinoic acid-induced differentiation factor,591254.9172,1032291.675,Not differentially expressed,0.803,0.266160827,0.893
SDR9C7,Q8NEX9,DR9C7_HUMAN,Short-chain dehydrogenase/reductase family 9C member 7,760838.1071,1517020.727,Not differentially expressed,0.803,0.404850472,0.904
MANF,P55145,MANF_HUMAN,Mesencephalic astrocyte-derived neurotrophic factor,811491.2989,1729434.91,Not differentially expressed,0.802,0.179723442,0.883
MAEA,Q7L5Y9,MAEA_HUMAN,E3 ubiquitin-protein transferase MAEA,541170.9092,844415.4801,Not differentially expressed,0.801,0.206780035,0.887
CUSTOS,Q96C57,CSTOS_HUMAN,Protein CUSTOS,473543.549,816069.4994,Not differentially expressed,0.8,0.12829534,0.871
NOLC1,Q14978,NOLC1_HUMAN,Nucleolar and coiled-body phosphoprotein 1,2608276.915,5582045.787,Not differentially expressed,0.799,0.151433309,0.878
APH1B,Q8WW43,APH1B_HUMAN,Gamma-secretase subunit APH-1B,288267.0408,536218.3902,Not differentially expressed,0.799,0.370061906,0.902
PBRM1,Q86U86,PB1_HUMAN,Protein polybromo-1,340679.1995,687948.8633,Not differentially expressed,0.799,0.386236,0.903
PUS1,Q9Y606,PUS1_HUMAN,Pseudouridylate synthase 1 homolog,689834.8545,1187235.287,Not differentially expressed,0.798,0.118338153,0.869
MRPL22,Q9NWU5,RM22_HUMAN,Large ribosomal subunit protein uL22m,1173395.879,1763718.745,Not differentially expressed,0.798,0.178604015,0.882
MPHOSPH8,Q99549,MPP8_HUMAN,M-phase phosphoprotein 8,767073.7919,1708356.344,Not differentially expressed,0.798,0.446702726,0.907
MRPL50,Q8N5N7,RM50_HUMAN,Large ribosomal subunit protein mL50,529653.2022,868465.1745,Not differentially expressed,0.797,0.154743683,0.878
SDAD1,Q9NVU7,SDA1_HUMAN,Protein SDA1 homolog,236911.8986,451988.5554,Not differentially expressed,0.796,0.387558984,0.903
ITGA4,P13612,ITA4_HUMAN,Integrin alpha-4,786685.2372,1748842.089,Not differentially expressed,0.796,0.459263852,0.908
ZNF280D,Q6N043,Z280D_HUMAN,Zinc finger protein 280D,144312.7197,261101.3837,Not differentially expressed,0.795,0.357725017,0.901
SPTLC2,O15270,SPTC2_HUMAN,Serine palmitoyltransferase 2,1070678.577,2076999.029,Not differentially expressed,0.794,0.117287594,0.87
HERPUD1,Q15011,HERP1_HUMAN,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein,124400.6711,299721.3274,Not differentially expressed,0.794,0.308449325,0.898
PDCD4,Q53EL6,PDCD4_HUMAN,Programmed cell death protein 4,1125249.718,2744374.334,Not differentially expressed,0.793,0.248890867,0.892
APOE,P02649,APOE_HUMAN,Apolipoprotein E,7060566.178,13392134.71,Not differentially expressed,0.79,0.188839206,0.884
SLC37A3,Q8NCC5,SPX3_HUMAN,Sugar phosphate exchanger 3,273812.4166,480039.4419,Not differentially expressed,0.788,0.116897996,0.869
RBM17,Q96I25,SPF45_HUMAN,Splicing factor 45,799528.3256,1785743.162,Not differentially expressed,0.786,0.168556234,0.881
UPF2,Q9HAU5,RENT2_HUMAN,Regulator of nonsense transcripts 2,1061888.001,1885151.268,Not differentially expressed,0.786,0.180158564,0.882
PREB,Q9HCU5,PREB_HUMAN,Prolactin regulatory element-binding protein,2137437.752,4429258.787,Not differentially expressed,0.786,0.209005116,0.887
FAM8A1,Q9UBU6,FA8A1_HUMAN,Protein FAM8A1,598613.2513,1303828.056,Not differentially expressed,0.785,0.176748649,0.882
ACOT9,Q9Y305,ACOT9_HUMAN,"Acyl-coenzyme A thioesterase 9, mitochondrial",5056581.942,8766381.808,Not differentially expressed,0.785,0.205380479,0.887
PURA,Q00577,PURA_HUMAN,Transcriptional activator protein Pur-alpha,29121809.54,50453039.57,Not differentially expressed,0.782,0.050999786,0.84
TMEM11,P17152,TMM11_HUMAN,"Transmembrane protein 11, mitochondrial",992009.6945,2028467.476,Not differentially expressed,0.782,0.209476882,0.887
PSMC4,P43686,PRS6B_HUMAN,26S proteasome regulatory subunit 6B,2892961.551,4867007.515,Not differentially expressed,0.78,0.082924537,0.857
VASP,P50552,VASP_HUMAN,Vasodilator-stimulated phosphoprotein,1784754.827,3725553.379,Not differentially expressed,0.78,0.1767501,0.882
TUFM,P49411,EFTU_HUMAN,"Elongation factor Tu, mitochondrial",1409614.77,4510180.873,Not differentially expressed,0.78,0.41880785,0.906
CCDC12,Q8WUD4,CCD12_HUMAN,Coiled-coil domain-containing protein 12,292859.6558,520267.718,Not differentially expressed,0.778,0.208984911,0.886
RASGRP2,Q7LDG7,GRP2_HUMAN,RAS guanyl-releasing protein 2,156398.4221,335741.948,Not differentially expressed,0.777,0.434763515,0.906
INPP5D,Q92835,SHIP1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",502515.0985,885865.0899,Not differentially expressed,0.776,0.102757353,0.865
CD59,P13987,CD59_HUMAN,CD59 glycoprotein,37685935.37,72662586.1,Not differentially expressed,0.775,0.139464647,0.875
MORF4L1,Q9UBU8,MO4L1_HUMAN,Mortality factor 4-like protein 1,731021.9978,1581741.449,Not differentially expressed,0.775,0.241366789,0.891
MAK16,Q9BXY0,MAK16_HUMAN,Protein MAK16 homolog,348998.8197,618803.1862,Not differentially expressed,0.775,0.364569062,0.901
CFHR1,Q03591,FHR1_HUMAN,Complement factor H-related protein 1,108747.0013,132306.7092,Not differentially expressed,0.775,0.523225119,0.911
LARP7,Q4G0J3,LARP7_HUMAN,La-related protein 7,548101.0143,955609.9748,Not differentially expressed,0.774,0.083485875,0.857
RRAGA,Q7L523,RRAGA_HUMAN,Ras-related GTP-binding protein A,1153977.005,2073153.882,Not differentially expressed,0.773,0.160950311,0.879
LYRM7,Q5U5X0,LYRM7_HUMAN,Complex III assembly factor LYRM7,489892.6387,806669.1717,Not differentially expressed,0.77,0.319432985,0.898
RPS17,P08708,RS17_HUMAN,Small ribosomal subunit protein eS17,4091200.723,6617838.025,Not differentially expressed,0.769,0.079711607,0.857
WDFY1,Q8IWB7,WDFY1_HUMAN,WD repeat and FYVE domain-containing protein 1,2290410.424,4347231.03,Not differentially expressed,0.769,0.126842483,0.872
PNPLA6,Q8IY17,PLPL6_HUMAN,Patatin-like phospholipase domain-containing protein 6,3268262.858,5620736.314,Not differentially expressed,0.769,0.15767607,0.879
ATP7A,Q04656,ATP7A_HUMAN,Copper-transporting ATPase 1,257316.2554,482799.9578,Not differentially expressed,0.769,0.206427908,0.886
NCBP3,Q53F19,NCBP3_HUMAN,Nuclear cap-binding protein subunit 3,239899.1228,456503.3932,Not differentially expressed,0.768,0.166353871,0.88
PECR,Q9BY49,PECR_HUMAN,Peroxisomal trans-2-enoyl-CoA reductase,650067.4603,970719.3854,Not differentially expressed,0.768,0.171026179,0.881
RPS18,P62269,RS18_HUMAN,Small ribosomal subunit protein uS13,15829527.96,31146784.42,Not differentially expressed,0.767,0.176981606,0.882
WDR5,P61964,WDR5_HUMAN,WD repeat-containing protein 5,924443.7577,1948877.048,Not differentially expressed,0.766,0.220347762,0.889
CAMK4,Q16566,KCC4_HUMAN,Calcium/calmodulin-dependent protein kinase type IV,719422.6855,1124885,Not differentially expressed,0.765,0.335710209,0.9
LMBRD1,Q9NUN5,LMBD1_HUMAN,Lysosomal cobalamin transport escort protein LMBD1,611015.6842,1156956.194,Not differentially expressed,0.764,0.146696937,0.876
AGPAT2,O15120,PLCB_HUMAN,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,710111.4953,1285862.237,Not differentially expressed,0.764,0.18512862,0.883
SRRM2,Q9UQ35,SRRM2_HUMAN,Serine/arginine repetitive matrix protein 2,648207.7174,1708774.592,Not differentially expressed,0.764,0.289507175,0.896
SIPA1,Q96FS4,SIPA1_HUMAN,Signal-induced proliferation-associated protein 1,4949849.495,10863771.51,Not differentially expressed,0.763,0.242911345,0.892
ABCA8,O94911,ABCA8_HUMAN,ABC-type organic anion transporter ABCA8,2344583.384,4760158.255,Not differentially expressed,0.762,0.184200391,0.884
LMAN2L,Q9H0V9,LMA2L_HUMAN,VIP36-like protein,1285740.993,2837333.676,Not differentially expressed,0.762,0.241140096,0.891
AP5Z1,O43299,AP5Z1_HUMAN,AP-5 complex subunit zeta-1,254784.6394,453775.6358,Not differentially expressed,0.762,0.275399076,0.895
MBOAT2,Q6ZWT7,MBOA2_HUMAN,Lysophospholipid acyltransferase 2,598158.8656,1218292.08,Not differentially expressed,0.761,0.195881212,0.885
DMAP1,Q9NPF5,DMAP1_HUMAN,DNA methyltransferase 1-associated protein 1,616433.2934,986334.3754,Not differentially expressed,0.761,0.238108972,0.89
TCIRG1,Q13488,VPP3_HUMAN,V-type proton ATPase 116 kDa subunit a 3,816937.213,1572010.114,Not differentially expressed,0.761,0.388723682,0.903
RPL37A,P61513,RL37A_HUMAN,Large ribosomal subunit protein eL43,1179042.328,2353238.288,Not differentially expressed,0.76,0.220412045,0.889
HCN2,Q9UL51,HCN2_HUMAN,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,1663582.166,2779152.24,Not differentially expressed,0.76,0.264688075,0.893
NBAS,A2RRP1,NBAS_HUMAN,NBAS subunit of NRZ tethering complex,595874.2651,1318698.763,Not differentially expressed,0.757,0.291426226,0.896
JAKMIP1,Q96N16,JKIP1_HUMAN,Janus kinase and microtubule-interacting protein 1,533124.3268,807474.6997,Not differentially expressed,0.756,0.380756727,0.903
GLCE,O94923,GLCE_HUMAN,D-glucuronyl C5-epimerase,1037698.968,1673384.673,Not differentially expressed,0.755,0.137094311,0.874
SEMG1,P04279,SEMG1_HUMAN,Semenogelin-1,277521.9749,533621.4319,Not differentially expressed,0.755,0.319016573,0.898
PPIG,Q13427,PPIG_HUMAN,Peptidyl-prolyl cis-trans isomerase G,652313.695,2108353.339,Not differentially expressed,0.755,0.33738582,0.9
CDC23,Q9UJX2,CDC23_HUMAN,Cell division cycle protein 23 homolog,1360956.304,2184722.742,Not differentially expressed,0.754,0.210976221,0.886
MACROH2A2,Q9P0M6,H2AW_HUMAN,Core histone macro-H2A.2,3002116.732,6605772.055,Not differentially expressed,0.753,0.24226136,0.891
DCP1A,Q9NPI6,DCP1A_HUMAN,mRNA-decapping enzyme 1A,113971.8432,190714.7825,Not differentially expressed,0.753,0.245648557,0.891
RPL13A,P40429,RL13A_HUMAN,Large ribosomal subunit protein uL13,3999601.049,8115567.509,Not differentially expressed,0.751,0.323727429,0.899
LRCH3,Q96II8,LRCH3_HUMAN,DISP complex protein LRCH3,95721.36662,299143.2694,Not differentially expressed,0.751,0.584273592,0.914
CRIP1,P50238,CRIP1_HUMAN,Cysteine-rich protein 1,1461030.549,3544440.664,Not differentially expressed,0.75,0.302160741,0.897
CLPP,Q16740,CLPP_HUMAN,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",581606.6842,990795.2385,Not differentially expressed,0.749,0.223968597,0.889
KLK10,O43240,KLK10_HUMAN,Kallikrein-10,710919.0226,1468839.842,Not differentially expressed,0.749,0.469604016,0.908
DOCK7,Q96N67,DOCK7_HUMAN,Dedicator of cytokinesis protein 7,420934.4656,656919.7612,Not differentially expressed,0.747,0.17303321,0.881
MRPL17,Q9NRX2,RM17_HUMAN,Large ribosomal subunit protein bL17m,529097.4855,864543.8717,Not differentially expressed,0.747,0.199590764,0.885
EXOSC6,Q5RKV6,EXOS6_HUMAN,Exosome complex component MTR3,686091.1616,1143149.373,Not differentially expressed,0.746,0.090860093,0.86
KTN1,Q86UP2,KTN1_HUMAN,Kinectin,3764191.933,6408911.228,Not differentially expressed,0.745,0.065649601,0.85
ARL6IP6,Q8N6S5,AR6P6_HUMAN,ADP-ribosylation factor-like protein 6-interacting protein 6,1617276.18,2895510.315,Not differentially expressed,0.744,0.35656998,0.901
RFC5,P40937,RFC5_HUMAN,Replication factor C subunit 5,406475.3173,790037.0361,Not differentially expressed,0.744,0.424940506,0.906
CBX5,P45973,CBX5_HUMAN,Chromobox protein homolog 5,1600934.383,3019255.865,Not differentially expressed,0.743,0.142037439,0.876
SLC25A13,Q9UJS0,S2513_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",5435004.748,10803543.43,Not differentially expressed,0.743,0.192878075,0.885
TOR2A,Q5JU69,TOR2A_HUMAN,Torsin-2A,502452.6596,898799.4335,Not differentially expressed,0.741,0.165015268,0.879
SRRM1,Q8IYB3,SRRM1_HUMAN,Serine/arginine repetitive matrix protein 1,581669.2977,1255216.132,Not differentially expressed,0.741,0.279950729,0.895
PRKAG1,P54619,AAKG1_HUMAN,5'-AMP-activated protein kinase subunit gamma-1,413270.7771,760847.7674,Not differentially expressed,0.74,0.150306399,0.878
RBM25,P49756,RBM25_HUMAN,RNA-binding protein 25,1813087.245,4571259.819,Not differentially expressed,0.739,0.261503926,0.894
FOXK1,P85037,FOXK1_HUMAN,Forkhead box protein K1,886932.6978,1480210.243,Not differentially expressed,0.738,0.083547948,0.857
NUMA1,Q14980,NUMA1_HUMAN,Nuclear mitotic apparatus protein 1,1896459.643,4885507.904,Not differentially expressed,0.736,0.267165111,0.894
RAB14,P61106,RAB14_HUMAN,Ras-related protein Rab-14,9531973.811,13098549.57,Not differentially expressed,0.735,0.172515495,0.882
UQCRQ,O14949,QCR8_HUMAN,Cytochrome b-c1 complex subunit 8,4333945.632,5720548.034,Not differentially expressed,0.735,0.194291589,0.885
WDR33,Q9C0J8,WDR33_HUMAN,pre-mRNA 3' end processing protein WDR33,227730.5309,389724.6104,Not differentially expressed,0.734,0.129477898,0.872
MIER1,Q8N108,MIER1_HUMAN,Mesoderm induction early response protein 1,126811.2477,218268.2139,Not differentially expressed,0.733,0.111633095,0.868
RAB7A,P51149,RAB7A_HUMAN,Ras-related protein Rab-7a,12366374.36,19206588.13,Not differentially expressed,0.733,0.131754376,0.873
PPOX,P50336,PPOX_HUMAN,Protoporphyrinogen oxidase,1437011.207,2438789.499,Not differentially expressed,0.733,0.182166355,0.883
LUC7L,Q9NQ29,LUC7L_HUMAN,Putative RNA-binding protein Luc7-like 1,343771.7787,589562.9817,Not differentially expressed,0.732,0.137203219,0.874
NME4,O00746,NDKM_HUMAN,"Nucleoside diphosphate kinase, mitochondrial",323003.8997,541891.865,Not differentially expressed,0.732,0.247384187,0.891
GPD1L,Q8N335,GPD1L_HUMAN,Glycerol-3-phosphate dehydrogenase 1-like protein,17599449.16,27181410.58,Not differentially expressed,0.731,0.118697613,0.87
MRPL32,Q9BYC8,RM32_HUMAN,Large ribosomal subunit protein bL32m,285319.9948,424944.8612,Not differentially expressed,0.73,0.273864848,0.894
INPP5K,Q9BT40,INP5K_HUMAN,Inositol polyphosphate 5-phosphatase K,1301546.446,3224278.348,Not differentially expressed,0.73,0.335776151,0.9
RAI14,Q9P0K7,RAI14_HUMAN,Ankycorbin,328098.4863,556908.5229,Not differentially expressed,0.729,0.239634496,0.89
FBXW11,Q9UKB1,FBW1B_HUMAN,F-box/WD repeat-containing protein 11,1737024.517,2843055.359,Not differentially expressed,0.728,0.084859324,0.859
MTX1,Q13505,MTX1_HUMAN,Metaxin-1,2018623.431,3400294.07,Not differentially expressed,0.728,0.258305836,0.893
NPIPB5,A8MRT5,NPIB5_HUMAN,Nuclear pore complex-interacting protein family member B5,779900.1731,997423.0549,Not differentially expressed,0.728,0.33623327,0.9
DNAJB12,Q9NXW2,DJB12_HUMAN,DnaJ homolog subfamily B member 12,921229.3948,1527627.23,Not differentially expressed,0.727,0.115095504,0.869
RAE1,P78406,RAE1L_HUMAN,mRNA export factor RAE1,2457049.74,4512798.018,Not differentially expressed,0.726,0.132343326,0.874
FA2H,Q7L5A8,FA2H_HUMAN,Fatty acid 2-hydroxylase,914710.7104,1859786.931,Not differentially expressed,0.726,0.197841997,0.886
